"Calendar_Year","Sector_General","Sector_Detail1","Sector_Detail2","Sector_GPC","Sector_GPC_Detail","Commodity_Type","Emissions_mtCO2e","Biogenic_Emissions_mtCO2e","Quantity","Quantity_Units"
"2019","Agriculture","Agriculture/Farming","Agriculture/Farming","Stationary","Agriculture, Forestry and Fishing Activities","Other Unspecified Fuels","113.49","0.00","0.00","mtCO2e"
"2019","Transportation","Off-Road Equipment","Off-Road Equipment","Stationary","Non-specified Sources","Other Unspecified Fuels","140,021.82","0.00","0.00","mtCO2e"
"2019","Agriculture","Agriculture/Farming","Agriculture/Farming","Agriculture, Forestry and Other Land Use","Land","Other Unspecified Fuels","84,179.17","0.00","0.00","mtCO2e"
"2019","Agriculture","Agriculture/Farming","Agriculture/Farming","Agriculture, Forestry and Other Land Use","Land","Other Unspecified Fuels","14.07","0.00","0.00","mtCO2e"
"2019","Agriculture","Agriculture/Farming","Agriculture/Farming","Agriculture, Forestry and Other Land Use","Land","Other Unspecified Fuels",,"0.00","0.00","mtCO2e"
"2019","Buildings","Commercial & Industrial","Steam - NRG","Stationary","Commercial & Institutional Buildings and Facilities","Steam","60,921.71","0.00","11,479,421.46","Therm"
"2019","Landfilled Organics","Landfilled Organics","Landfilled Organics","Waste","Solid Waste Disposal","Solid Waste","307,605.35","0.00","614,293.00","tons"
"2019","Wastewater","Wastewater (Process)","Wastewater (Process)","Waste","Wastewater Treatment and Discharge","Process Emissions","934.44","0.00","881,549.00","people"
"2019","Wastewater","Wastewater (Fugitive)","Wastewater (Fugitive)","Waste","Wastewater Treatment and Discharge","Fugitive Emissions","4,372.33","0.00","11,509.00","Avg kgN/day"
"2019","Buildings","Residential","PG&E Residential","Stationary","Residential Buildings","Natural Gas","686,234.06","0.00","128,924,620.00","Therm"
"2019","Buildings","Commercial & Industrial","PG&E Commercial & Industrial","Stationary","Commercial & Institutional Buildings and Facilities","Natural Gas","433,238.84","0.00","81,393,734.00","Therm"
"2019","Municipal","Municipal Buildings","PG&E Municipal Buildings","Stationary","Commercial & Institutional Buildings and Facilities","Natural Gas","90,943.22","0.00","17,085,745.32","Therm"
"2019","Buildings","Commercial & Industrial","PG&E District","Stationary","Commercial & Institutional Buildings and Facilities","Natural Gas","336.03","0.00","63,131.00","Therm"
"2019","Buildings","Residential","PG&E Residential Natural Gas Distribution Fugitive Emissions Downstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","129,262.17","0.00","2,333,535.62","Therm"
"2019","Buildings","Commercial & Industrial","PG&E Commercial & Industrial Natural Gas Distribution Fugitive Emissions Downstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","81,606.84","0.00","1,473,226.59","Therm"
"2019","Municipal","Municipal Buildings","PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Downstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","17,130.48","0.00","309,251.99","Therm"
"2019","Buildings","Commercial & Industrial","PG&E District Natural Gas Distribution Fugitive Emissions Downstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","63.30","0.00","1,142.67","Therm"
"2019","Buildings","Residential","PG&E Residential","Stationary","Residential Buildings","Electricity","824.92","0.00","389,924,676.00","kWh"
"2019","Buildings","Residential","CleanPowerSF Residential Green Product","Stationary","Residential Buildings","Electricity","18,571.12","0.00","883,511,000.00","kWh"
"2019","Buildings","Residential","CleanPowerSF Residential SuperGreen Product","Stationary","Residential Buildings","Electricity","0.00","0.00","18,036,000.00","kWh"
"2019","Buildings","Residential","PG&E Residential Electric Power Transmission & Distribution Loss","Stationary","Residential Buildings","Electricity","4,105.98","0.00","19,886,158.48","kWh"
"2019","Buildings","Residential","CleanPowerSF Residential Green Product Electric Power Transmission & Distribution Loss","Stationary","Residential Buildings","Electricity","785.56","0.00","37,372,515.30","kWh"
"2019","Buildings","Residential","CleanPowerSF Residential SuperGreen Product Electric Power Transmission & Distribution Loss","Stationary","Residential Buildings","Electricity","0.00","0.00","762,922.80","kWh"
"2019","Buildings","Direct Access","PG&E Direct Access","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","78,922.22","0.00","382,237,689.57","kWh"
"2019","Municipal","Municipal Buildings","PG&E Municipal Buildings","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","3.51","0.00","1,659,364.00","kWh"
"2019","Municipal","Municipal Buildings","SFPUC Municipal Buildings","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","986,446,489.00","kWh"
"2019","Municipal","Municipal Buildings","PG&E Municipal Buildings Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","17.47","0.00","84,627.56","kWh"
"2019","Buildings","Commercial & Industrial","PG&E Commercial & Industrial","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","1,926.60","0.00","910,675,520.00","kWh"
"2019","Buildings","Commercial & Industrial","PG&E District","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","158.08","0.00","74,722,629.94","kWh"
"2019","Buildings","Commercial & Industrial","CleanPowerSF Commercial Green Product","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","35,593.85","0.00","1,693,358,000.00","kWh"
"2019","Buildings","Commercial & Industrial","CleanPowerSF Commercial SuperGreen Product","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","110,966,000.00","kWh"
"2019","Buildings","Commercial & Industrial","PG&E Commercial & Industrial Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","9,589.58","0.00","46,444,451.52","kWh"
"2019","Buildings","Commercial & Industrial","PG&E Direct Access Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","4,025.03","0.00","19,494,122.17","kWh"
"2019","Buildings","Commercial & Industrial","PG&E District Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","786.84","0.00","3,810,854.13","kWh"
"2019","Buildings","Commercial & Industrial","CleanPowerSF Commercial Green Product Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","1,815.29","0.00","86,361,258.00","kWh"
"2019","Buildings","Commercial & Industrial","CleanPowerSF Commercial SuperGreen Product Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","5,659,266.00","kWh"
